Month,Price,Change
Sep 2007,1.09,2.38%
Oct 2007,1.08,-0.51%
Nov 2007,1.08,-0.32%
Dec 2007,1.13,5.21%
Jan 2008,1.27,12.19%
Feb 2008,1.47,15.19%
Mar 2008,1.38,-5.63%
Apr 2008,1.32,-4.84%
May 2008,1.14,-13.32%
Jun 2008,1.25,9.31%
Jul 2008,1.35,8.24%
Aug 2008,1.38,2.47%
Sep 2008,1.49,7.92%
Oct 2008,1.48,-0.96%
Nov 2008,1.55,4.88%
Dec 2008,1.52,-1.98%
Jan 2009,1.70,11.80%
Feb 2009,1.94,14.36%
Mar 2009,1.90,-2.16%
Apr 2009,1.81,-4.77%
May 2009,2.04,12.49%
Jun 2009,2.21,8.67%
Jul 2009,2.38,7.52%
Aug 2009,2.83,18.76%
Sep 2009,3.15,11.41%
Oct 2009,3.06,-2.69%
Nov 2009,2.99,-2.55%
Dec 2009,3.20,7.30%
Jan 2010,2.80,-12.43%
Feb 2010,2.84,1.42%
Mar 2010,2.28,-19.70%
Apr 2010,2.07,-9.53%
May 2010,1.92,-6.89%
Jun 2010,2.07,7.75%
Jul 2010,2.27,9.35%
Aug 2010,2.38,4.84%
Sep 2010,2.90,22.02%
Oct 2010,3.35,15.54%
Nov 2010,3.26,-2.80%
Dec 2010,3.47,6.66%
Jan 2011,3.61,3.87%
Feb 2011,3.54,-1.91%
Mar 2011,3.11,-12.13%
Apr 2011,2.80,-10.02%
May 2011,2.55,-9.05%
Jun 2011,2.94,15.53%
Jul 2011,3.44,16.97%
Aug 2011,3.53,2.54%
Sep 2011,3.49,-1.12%
Oct 2011,3.54,1.47%
Nov 2011,3.34,-5.49%
Dec 2011,3.22,-3.68%
Jan 2012,3.22,-0.04%
Feb 2012,2.99,-6.99%
Mar 2012,3.03,1.25%
Apr 2012,2.94,-3.08%
May 2012,2.76,-6.02%
Jun 2012,2.80,1.38%
Jul 2012,3.04,8.64%
Aug 2012,2.71,-10.92%
Sep 2012,2.61,-3.56%
Oct 2012,2.62,0.36%
Nov 2012,2.53,-3.54%
Dec 2012,2.47,-2.36%
Jan 2013,2.39,-3.07%
Feb 2013,2.32,-3.28%
Mar 2013,2.30,-0.85%
Apr 2013,2.16,-6.13%
May 2013,2.14,-0.52%
Jun 2013,2.20,2.47%
Jul 2013,2.18,-0.81%
Aug 2013,2.22,2.02%
Sep 2013,2.30,3.47%
Oct 2013,2.44,6.26%
Nov 2013,2.32,-5.05%
Dec 2013,2.15,-7.29%
Jan 2014,2.08,-3.57%
Feb 2014,2.24,8.16%
Mar 2014,2.36,5.15%
Apr 2014,2.38,0.88%
May 2014,2.36,-0.96%
Jun 2014,2.37,0.48%
Jul 2014,2.43,2.72%
Aug 2014,2.33,-4.33%
Sep 2014,2.19,-6.00%
Oct 2014,2.22,1.46%
Nov 2014,2.16,-2.77%
Dec 2014,2.17,0.60%
Jan 2015,2.21,1.83%
Feb 2015,2.17,-2.11%
Mar 2015,1.96,-9.70%
Apr 2015,1.96,0.49%
May 2015,1.94,-1.33%
Jun 2015,1.87,-3.34%
Jul 2015,1.89,1.05%
Aug 2015,1.76,-6.81%
Sep 2015,2.05,15.91%
Oct 2015,2.34,14.56%
Nov 2015,2.47,5.44%
Dec 2015,2.52,1.96%
Jan 2016,2.59,2.98%
Feb 2016,2.59,-0.12%
Mar 2016,2.82,8.78%
Apr 2016,2.79,-1.13%
May 2016,3.16,13.43%
Jun 2016,3.65,15.47%
Jul 2016,3.71,1.64%
Aug 2016,3.78,1.90%
Sep 2016,4.22,11.54%
Oct 2016,4.33,2.76%
Nov 2016,4.19,-3.38%
Dec 2016,3.86,-7.74%
Jan 2017,4.40,14.00%
Feb 2017,4.13,-6.17%
Mar 2017,3.48,-15.69%
Apr 2017,3.08,-11.61%
May 2017,2.94,-4.35%
Jun 2017,2.49,-15.31%
