Month,Price,Change
Nov 2009,"2,249.70",1.72%
Dec 2009,"2,117.01",-5.90%
Jan 2010,"2,140.60",1.11%
Feb 2010,"2,091.88",-2.28%
Mar 2010,"2,001.22",-4.33%
Apr 2010,"1,929.05",-3.61%
May 2010,"2,085.49",8.11%
Jun 2010,"1,944.40",-6.76%
Jul 2010,"2,100.67",8.04%
Aug 2010,"2,243.78",6.81%
Sep 2010,"2,633.19",17.35%
Oct 2010,"2,931.67",11.34%
Nov 2010,"2,937.10",0.19%
Dec 2010,"3,105.20",5.72%
Jan 2011,"3,218.91",3.66%
Feb 2011,"3,543.24",10.08%
Mar 2011,"3,487.04",-1.59%
Apr 2011,"3,732.10",7.03%
May 2011,"3,595.29",-3.67%
Jun 2011,"3,663.90",1.91%
Jul 2011,"3,511.24",-4.17%
Aug 2011,"3,790.59",7.96%
Sep 2011,"3,878.28",2.31%
Oct 2011,"3,697.67",-4.66%
Nov 2011,"3,740.68",1.16%
Dec 2011,"3,554.92",-4.97%
Jan 2012,"3,657.76",2.89%
Feb 2012,"3,573.64",-2.30%
Mar 2012,"3,577.31",0.10%
Apr 2012,"3,584.99",0.21%
May 2012,"3,662.60",2.17%
Jun 2012,"3,722.99",1.65%
Jul 2012,"4,450.56",19.54%
Aug 2012,"4,378.41",-1.62%
Sep 2012,"4,147.63",-5.27%
Oct 2012,"4,137.51",-0.24%
Nov 2012,"4,213.27",1.83%
Dec 2012,"3,972.48",-5.71%
Jan 2013,"3,852.93",-3.01%
Feb 2013,"3,847.49",-0.14%
Mar 2013,"3,875.38",0.72%
Apr 2013,"3,421.07",-11.72%
May 2013,"3,632.83",6.19%
Jun 2013,"3,848.70",5.94%
Jul 2013,"3,555.27",-7.62%
Aug 2013,"3,029.58",-14.79%
Sep 2013,"2,708.27",-10.61%
Oct 2013,"2,621.87",-3.19%
Nov 2013,"2,604.28",-0.67%
Dec 2013,"2,569.80",-1.32%
Jan 2014,"2,625.08",2.15%
Feb 2014,"2,781.75",5.97%
Mar 2014,"2,933.21",5.44%
Apr 2014,"2,907.31",-0.88%
May 2014,"2,804.32",-3.54%
Jun 2014,"2,631.30",-6.17%
Jul 2014,"2,368.09",-10.00%
Aug 2014,"2,318.40",-2.10%
Sep 2014,"2,157.74",-6.93%
Oct 2014,"2,200.61",1.99%
Nov 2014,"2,429.36",10.40%
Dec 2014,"2,589.15",6.58%
Jan 2015,"2,566.06",-0.89%
Feb 2015,"2,591.99",1.01%
Mar 2015,"2,652.92",2.35%
Apr 2015,"2,618.38",-1.30%
May 2015,"2,538.49",-3.05%
Jun 2015,"2,579.73",1.62%
Jul 2015,"2,862.69",10.97%
Aug 2015,"2,691.57",-5.98%
Sep 2015,"2,797.00",3.92%
Oct 2015,"2,840.06",1.54%
Nov 2015,"2,764.04",-2.68%
Dec 2015,"2,798.07",1.23%
Jan 2016,"2,908.90",3.96%
Feb 2016,"2,953.02",1.52%
Mar 2016,"2,812.12",-4.77%
Apr 2016,"2,875.97",2.27%
May 2016,"3,068.53",6.70%
Jun 2016,"3,354.48",9.32%
Jul 2016,"3,010.71",-10.25%
Aug 2016,"2,772.66",-7.91%
Sep 2016,"2,852.24",2.87%
Oct 2016,"2,884.13",1.12%
Nov 2016,"3,034.55",5.22%
Dec 2016,"3,131.09",3.18%
Jan 2017,"3,429.04",9.52%
Feb 2017,"3,306.32",-3.58%
Mar 2017,"3,065.61",-7.28%
Apr 2017,"2,936.54",-4.21%
May 2017,"2,976.30",1.35%
Jun 2017,"2,864.75",-3.75%
