Month,Price,Change
Jul 2012,18.66,-7.66%
Aug 2012,16.70,-10.53%
Sep 2012,17.82,6.73%
Oct 2012,18.70,4.89%
Nov 2012,17.68,-5.44%
Dec 2012,18.15,2.67%
Jan 2013,19.04,4.89%
Feb 2013,18.38,-3.45%
Mar 2013,16.91,-7.99%
Apr 2013,15.87,-6.14%
May 2013,16.95,6.80%
Jun 2013,16.51,-2.58%
Jul 2013,14.82,-10.27%
Aug 2013,15.03,1.43%
Sep 2013,15.62,3.96%
Oct 2013,14.94,-4.37%
Nov 2013,14.77,-1.16%
Dec 2013,15.10,2.24%
Jan 2014,13.94,-7.69%
Feb 2014,12.93,-7.23%
Mar 2014,13.65,5.58%
Apr 2014,13.02,-4.63%
May 2014,12.15,-6.64%
Jun 2014,12.30,1.16%
Jul 2014,11.90,-3.22%
Aug 2014,11.03,-7.34%
Sep 2014,9.87,-10.48%
Oct 2014,9.90,0.33%
Nov 2014,10.09,1.88%
Dec 2014,10.54,4.45%
Jan 2015,11.02,4.57%
Feb 2015,12.24,11.08%
Mar 2015,11.99,-2.08%
Apr 2015,11.74,-2.07%
May 2015,12.75,8.65%
Jun 2015,12.84,0.68%
Jul 2015,11.85,-7.68%
Aug 2015,10.66,-10.11%
Sep 2015,10.03,-5.91%
Oct 2015,9.78,-2.49%
Nov 2015,9.23,-5.60%
Dec 2015,9.66,4.64%
Jan 2016,10.00,3.49%
Feb 2016,10.55,5.54%
Mar 2016,11.60,9.96%
Apr 2016,13.65,17.69%
May 2016,13.79,1.03%
Jun 2016,13.37,-3.04%
Jul 2016,14.98,12.05%
Aug 2016,13.84,-7.60%
Sep 2016,13.99,1.02%
Oct 2016,14.29,2.18%
Nov 2016,17.10,19.68%
Dec 2016,20.72,21.13%
Jan 2017,24.84,19.91%
Feb 2017,24.97,0.50%
Mar 2017,20.70,-17.08%
Apr 2017,19.01,-8.19%
May 2017,18.51,-2.63%
Jun 2017,14.47,-21.83%
